Isla Tortuga (lat -1.01  lon -90.88),,,,,,,,
day (0 = sample collection),mean_lon,mean_lat,mean_dist,mean_spread,area (km),ave_dist,cent_lon,cent_lat
-1,-89.406,-1.43672,48.7334,9.23673,576.528,50.7499,-89.4438,-1.42437
-2,-89.1946,-1.47685,71.295,17.4976,1153.04,75.6808,-89.3413,-1.44551
-3,-88.9944,-1.51118,92.5227,25.5574,1386.4,100.933,-89.3016,-1.44257
-4,-88.8048,-1.53506,113.858,36.3547,1537.38,127.513,-89.2796,-1.42375
-5,-88.6127,-1.5354,133.375,49.2002,1825.65,152.4,-89.1781,-1.41998
-6,-88.438,-1.51718,152.838,61.3802,2045.32,176.982,-89.1571,-1.475
-7,-88.2643,-1.49431,173.024,72.1606,1949.24,202.342,-89.0927,-1.47244
-8,-88.0837,-1.47387,191.954,82.0402,1962.98,226.217,-89.0217,-1.48939
-9,-87.9142,-1.45588,209.727,91.2991,1880.62,249.291,-89.0012,-1.50335
-10,-87.7543,-1.45256,226.18,100.34,1880.61,271.426,-88.9588,-1.47543
-11,-87.6067,-1.46541,452.246,109.478,1592.35,529.137,-88.7908,-1.40049
